|----------------------------------------------------------------------------------------------------------------------------------------------------|-------------|-----------------|------------|-------------------|
| Task                                                                                                                                               | Data Inizio | Durata (giorni) | Data Fine  | Risorse Assegnate |
|----------------------------------------------------------------------------------------------------------------------------------------------------|-------------|-----------------|------------|-------------------|
| Base di dati                                                                                                                                       |             |                 |            |                   |
|----------------------------------------------------------------------------------------------------------------------------------------------------|-------------|-----------------|------------|-------------------|
| 1.1 Schema entità - relazione                                                                                                                      |  14-04-2025 |               2 | 15-04-2025 | Edoardo           |
|----------------------------------------------------------------------------------------------------------------------------------------------------|-------------|-----------------|------------|-------------------|
| 1.2 Ristrutturazione schema E-R                                                                                                                    |  16-04-2025 |               1 | 16-04-2025 | Edoardo           |
|----------------------------------------------------------------------------------------------------------------------------------------------------|-------------|-----------------|------------|-------------------|
| 1.3 Traduzione a schema logico                                                                                                                     |  17-04-2025 |               1 | 17-04-2025 | Edoardo           |
|----------------------------------------------------------------------------------------------------------------------------------------------------|-------------|-----------------|------------|-------------------|
| 1.4 Normalizzazione                                                                                                                                |  18-04-2025 |               1 | 18-04-2025 | Edoardo           |
|----------------------------------------------------------------------------------------------------------------------------------------------------|-------------|-----------------|------------|-------------------|
| 1.5 Implementazione in MySql                                                                                                                       |             |                 |            |                   |
|----------------------------------------------------------------------------------------------------------------------------------------------------|-------------|-----------------|------------|-------------------|
| 1.5.1 Creazione e Popolazione della base di dati                                                                                                   |  19-04-2025 |               2 | 20-04-2025 | Edoardo           |
|----------------------------------------------------------------------------------------------------------------------------------------------------|-------------|-----------------|------------|-------------------|
| 1.5.2 Query select e testing                                                                                                                       |  21-04-2025 |               1 | 21-04-2025 | Edoardo           |
|----------------------------------------------------------------------------------------------------------------------------------------------------|-------------|-----------------|------------|-------------------|
| Rete                                                                                                                                               |             |                 |            |                   |
|----------------------------------------------------------------------------------------------------------------------------------------------------|-------------|-----------------|------------|-------------------|
| 2.1 Schema dislocazione fisica                                                                                                                     |  14-04-2025 |               1 | 14-04-2025 | Roys              |
|----------------------------------------------------------------------------------------------------------------------------------------------------|-------------|-----------------|------------|-------------------|
| 2.2 Scelta dei dispositivi di rete per le sedi                                                                                                     |  15-04-2025 |               1 | 15-04-2025 | Roys              |
|----------------------------------------------------------------------------------------------------------------------------------------------------|-------------|-----------------|------------|-------------------|
| 2.3 Cablaggio strutturato                                                                                                                          |  16-04-2025 |               2 | 17-04-2025 | Roys              |
|----------------------------------------------------------------------------------------------------------------------------------------------------|-------------|-----------------|------------|-------------------|
| 2.4 Piano di indirizzamento                                                                                                                        |             |                 |            |                   |
|----------------------------------------------------------------------------------------------------------------------------------------------------|-------------|-----------------|------------|-------------------|
| 2.4.1 Definizione dello schema di indirizzamento IP, subnetting, gateway e DNS                                                                     |  18-04-2025 |               1 | 18-04-2025 | Roys              |
|----------------------------------------------------------------------------------------------------------------------------------------------------|-------------|-----------------|------------|-------------------|
| 2.4.2 Gestione indirizzi privati/pubblici e implementazione DHCP                                                                                   |  19-04-2025 |               1 | 19-04-2025 | Roys              |
|----------------------------------------------------------------------------------------------------------------------------------------------------|-------------|-----------------|------------|-------------------|
| 2.5 Tabelle di routing                                                                                                                             |  20-04-2025 |               1 | 20-04-2025 | Roys              |
|----------------------------------------------------------------------------------------------------------------------------------------------------|-------------|-----------------|------------|-------------------|
| 2.6 Reti private e servizi                                                                                                                         |             |                 |            |                   |
|----------------------------------------------------------------------------------------------------------------------------------------------------|-------------|-----------------|------------|-------------------|
| 2.6.1 Configurazione NAT statico                                                                                                                   |  21-04-2025 |               1 | 21-04-2025 | Roys              |
|----------------------------------------------------------------------------------------------------------------------------------------------------|-------------|-----------------|------------|-------------------|
| 2.6.2 Configurazione NAT dinamico                                                                                                                  |  22-04-2025 |               1 | 22-04-2025 | Roys              |
|----------------------------------------------------------------------------------------------------------------------------------------------------|-------------|-----------------|------------|-------------------|
| 2.6.3 Configurazione PAT (NAT Port forwarding)                                                                                                     |  23-04-2025 |               1 | 23-04-2025 | Roys              |
|----------------------------------------------------------------------------------------------------------------------------------------------------|-------------|-----------------|------------|-------------------|
| 2.6.4 Reti private con servizi pubblici (WEB, DNS, FTP, MAIL)                                                                                      |  24-04-2025 |               2 | 25-04-2025 | Roys              |
|----------------------------------------------------------------------------------------------------------------------------------------------------|-------------|-----------------|------------|-------------------|
| 2.7 Politiche di routing                                                                                                                           |             |                 |            |                   |
|----------------------------------------------------------------------------------------------------------------------------------------------------|-------------|-----------------|------------|-------------------|
| 2.7.1 Identificazione degli Autonomous System (AS)                                                                                                 |  26-04-2025 |               1 | 26-04-2025 | Roys              |
|----------------------------------------------------------------------------------------------------------------------------------------------------|-------------|-----------------|------------|-------------------|
| 2.7.2 Configurazione routing statico/dinamico(RIP, OSPF, BGP)                                                                                      |  27-04-2025 |               2 | 28-04-2025 | Roys              |
|----------------------------------------------------------------------------------------------------------------------------------------------------|-------------|-----------------|------------|-------------------|
| 2.8 Accesso a Internet e Sicurezza                                                                                                                 |             |                 |            |                   |
|----------------------------------------------------------------------------------------------------------------------------------------------------|-------------|-----------------|------------|-------------------|
| 2.8.1 Configurare l'accesso a Internet e la connessione ad altre reti, utilizzando indirizzi privati e pubblici (DNAT/SNAT/PF)                     |  29-04-2025 |               2 | 30-04-2025 | Roys              |
|----------------------------------------------------------------------------------------------------------------------------------------------------|-------------|-----------------|------------|-------------------|
| 2.8.2 Realizzazione rete TRUST/DMZ per la sicurezza                                                                                                |  01-05-2025 |               2 | 02-05-2025 | Roys              |
|----------------------------------------------------------------------------------------------------------------------------------------------------|-------------|-----------------|------------|-------------------|
| 2.9 Internetworking                                                                                                                                |             |                 |            |                   |
|----------------------------------------------------------------------------------------------------------------------------------------------------|-------------|-----------------|------------|-------------------|
| 2.9.1 Configurazione router e VPN                                                                                                                  |  03-05-2025 |               2 | 04-05-2025 | Roys              |
|----------------------------------------------------------------------------------------------------------------------------------------------------|-------------|-----------------|------------|-------------------|
| 2.9.2 DNS                                                                                                                                          |  05-05-2025 |               1 | 05-05-2025 | Roys              |
|----------------------------------------------------------------------------------------------------------------------------------------------------|-------------|-----------------|------------|-------------------|
| 2.9.3 Scelta di un servizio cloud (tra IaaS, PaaS, SaaS, FaaS, CaaS)                                                                               |  06-05-2025 |               1 | 06-05-2025 | Roys              |
|----------------------------------------------------------------------------------------------------------------------------------------------------|-------------|-----------------|------------|-------------------|
| 2.10 Sistema monitoraggio biciclette con IoT (Prototipo)                                                                                           |             |                 |            |                   |
|----------------------------------------------------------------------------------------------------------------------------------------------------|-------------|-----------------|------------|-------------------|
| 2.10.1 Acquisto e preparazione dei componenti                                                                                                      |             |                 |            |                   |
|----------------------------------------------------------------------------------------------------------------------------------------------------|-------------|-----------------|------------|-------------------|
| 2.10.1.1 Reperimento dei componenti hardware (ESP32, NEO-6M, breadboard, cavetti, power bank)                                                      |  07-05-2025 |               2 | 08-05-2025 | Roys              |
|----------------------------------------------------------------------------------------------------------------------------------------------------|-------------|-----------------|------------|-------------------|
| 2.10.1.2 Verifica della compatibilità tra i moduli e l'ESP32                                                                                       |  09-05-2025 |               1 | 09-05-2025 | Roys              |
|----------------------------------------------------------------------------------------------------------------------------------------------------|-------------|-----------------|------------|-------------------|
| 2.10.2 Collegamento hardware                                                                                                                       |             |                 |            |                   |
|----------------------------------------------------------------------------------------------------------------------------------------------------|-------------|-----------------|------------|-------------------|
| 2.10.2.1 Collegamento del modulo GPS NEO-6M all'ESP32 tramite UART (RX, TX)                                                                        |  10-05-2025 |               1 | 10-05-2025 | Roys              |
|----------------------------------------------------------------------------------------------------------------------------------------------------|-------------|-----------------|------------|-------------------|
| 2.10.2.2 Collegamento dell'ESP32 alla breadboard e collegamenti con i cavetti Dupont                                                               |  11-05-2025 |               1 | 11-05-2025 | Roys              |
|----------------------------------------------------------------------------------------------------------------------------------------------------|-------------|-----------------|------------|-------------------|
| 2.10.2.3 Alimentazione del sistema tramite power bank                                                                                              |  12-05-2025 |               1 | 12-05-2025 | Roys              |
|----------------------------------------------------------------------------------------------------------------------------------------------------|-------------|-----------------|------------|-------------------|
| 2.10.3 Programmazione dell'ESP32                                                                                                                   |             |                 |            |                   |
|----------------------------------------------------------------------------------------------------------------------------------------------------|-------------|-----------------|------------|-------------------|
| 2.10.3.1 Produzione del codice per leggere le coordinate GPS dal modulo NEO-6M                                                                     |  13-05-2025 |               2 | 14-05-2025 | Roys              |
|----------------------------------------------------------------------------------------------------------------------------------------------------|-------------|-----------------|------------|-------------------|
| 2.10.3.2 Codice per connettere l'ESP32 alla rete Wi-Fi                                                                                             |  13-05-2025 |               1 | 13-05-2025 | Francesco         |
|----------------------------------------------------------------------------------------------------------------------------------------------------|-------------|-----------------|------------|-------------------|
| 2.10.3.3 Implementazione della logica per inviare i dati GPS al backend PHP (HTTP POST)                                                            |  13-05-2025 |               1 | 13-05-2025 | Francesco         |
|----------------------------------------------------------------------------------------------------------------------------------------------------|-------------|-----------------|------------|-------------------|
| 2.10.3.4 Gestione del consumo energetico dell'ESP32 per massimizzare la durata della batteria                                                      |  14-05-2025 |               1 | 14-05-2025 | Francesco         |
|----------------------------------------------------------------------------------------------------------------------------------------------------|-------------|-----------------|------------|-------------------|
| 2.10.4 Testing e debug hardware                                                                                                                    |             |                 |            |                   |
|----------------------------------------------------------------------------------------------------------------------------------------------------|-------------|-----------------|------------|-------------------|
| 2.10.4.1 Testing del corretto funzionamento del modulo GPS (verifica latitudine e longitudine)                                                     |  14-05-2025 |               1 | 14-05-2025 | Roys              |
|----------------------------------------------------------------------------------------------------------------------------------------------------|-------------|-----------------|------------|-------------------|
| 2.10.4.2 Test della connessione Wi-Fi dell'ESP32                                                                                                   |  14-05-2025 |               1 | 14-05-2025 | Francesco         |
|----------------------------------------------------------------------------------------------------------------------------------------------------|-------------|-----------------|------------|-------------------|
| 2.10.4.3 Esecuzione dei test per assicurarsi che i dati vengano inviati correttamente al backend PHP                                               |  14-05-2025 |               1 | 14-05-2025 | Francesco         |
|----------------------------------------------------------------------------------------------------------------------------------------------------|-------------|-----------------|------------|-------------------|
| 2.10.5 Sviluppo backend PHP                                                                                                                        |             |                 |            |                   |
|----------------------------------------------------------------------------------------------------------------------------------------------------|-------------|-----------------|------------|-------------------|
